,model_name,instance_num,likelihood,outcome,viability,use_sparcity,use_similarity,use_dllh,use_ollh,mask_round
45,SimpleVAEGeneratorWrapper_top5_0001,0,0.48548034,0,0.26707446575164795,False,False,False,True,0
46,SimpleVAEGeneratorWrapper_top5_0001,0,0.48571977,0,0.26731395721435547,False,False,False,True,0
47,SimpleVAEGeneratorWrapper_top5_0001,0,0.5103567,1,0.27123743295669556,False,False,False,True,0
48,SimpleVAEGeneratorWrapper_top5_0001,0,0.49128345,0,0.27287757396698,False,False,False,True,0
49,SimpleVAEGeneratorWrapper_top5_0001,0,0.49792156,0,0.27951574325561523,False,False,False,True,0
50,SimpleVAEGeneratorWrapper_top5_0001,1,0.47087473,0,0.24105745553970337,False,False,False,True,0
51,SimpleVAEGeneratorWrapper_top5_0001,1,0.47439966,0,0.2445824146270752,False,False,False,True,0
52,SimpleVAEGeneratorWrapper_top5_0001,1,0.51919514,1,0.25098758935928345,False,False,False,True,0
53,SimpleVAEGeneratorWrapper_top5_0001,1,0.48446694,0,0.25464963912963867,False,False,False,True,0
54,SimpleVAEGeneratorWrapper_top5_0001,1,0.49989644,0,0.2700791358947754,False,False,False,True,0
55,SimpleVAEGeneratorWrapper_top5_0001,2,0.4867773,0,0.25440430641174316,False,False,False,True,0
56,SimpleVAEGeneratorWrapper_top5_0001,2,0.48923618,0,0.25686317682266235,False,False,False,True,0
57,SimpleVAEGeneratorWrapper_top5_0001,2,0.49209478,0,0.2597217559814453,False,False,False,True,0
58,SimpleVAEGeneratorWrapper_top5_0001,2,0.49752808,0,0.2651550769805908,False,False,False,True,0
59,SimpleVAEGeneratorWrapper_top5_0001,2,0.49876103,0,0.26638805866241455,False,False,False,True,0
0,SimpleEvoGeneratorWrapper_top5_0010,0,0.37888956,0,0.0,False,False,True,False,1
1,SimpleEvoGeneratorWrapper_top5_0010,0,0.37888956,0,0.0,False,False,True,False,1
2,SimpleEvoGeneratorWrapper_top5_0010,0,0.37888956,0,0.0,False,False,True,False,1
3,SimpleEvoGeneratorWrapper_top5_0010,0,0.37888956,0,0.0,False,False,True,False,1
4,SimpleEvoGeneratorWrapper_top5_0010,0,0.37888956,0,0.0,False,False,True,False,1
5,SimpleEvoGeneratorWrapper_top5_0010,1,0.42192227,0,0.0,False,False,True,False,1
6,SimpleEvoGeneratorWrapper_top5_0010,1,0.42192227,0,0.0,False,False,True,False,1
7,SimpleEvoGeneratorWrapper_top5_0010,1,0.42192227,0,0.0,False,False,True,False,1
8,SimpleEvoGeneratorWrapper_top5_0010,1,0.42192227,0,0.0,False,False,True,False,1
9,SimpleEvoGeneratorWrapper_top5_0010,1,0.42192227,0,0.0,False,False,True,False,1
10,SimpleEvoGeneratorWrapper_top5_0010,2,0.51802766,1,0.0,False,False,True,False,1
11,SimpleEvoGeneratorWrapper_top5_0010,2,0.51802766,1,0.0,False,False,True,False,1
12,SimpleEvoGeneratorWrapper_top5_0010,2,0.51802766,1,0.0,False,False,True,False,1
13,SimpleEvoGeneratorWrapper_top5_0010,2,0.51802766,1,0.0,False,False,True,False,1
14,SimpleEvoGeneratorWrapper_top5_0010,2,0.51802766,1,0.0,False,False,True,False,1
15,CaseBasedGeneratorWrapper_top5_0010,0,0.22241308,0,1.0104621625751872e-12,False,False,True,False,1
16,CaseBasedGeneratorWrapper_top5_0010,0,0.2208692,0,1.8160284074974923e-12,False,False,True,False,1
17,CaseBasedGeneratorWrapper_top5_0010,0,0.2314959,0,5.860843744541396e-10,False,False,True,False,1
18,CaseBasedGeneratorWrapper_top5_0010,0,0.21797583,0,3.6689047971921844e-08,False,False,True,False,1
19,CaseBasedGeneratorWrapper_top5_0010,0,0.22733375,0,2.445097491157577e-07,False,False,True,False,1
20,CaseBasedGeneratorWrapper_top5_0010,1,0.22241308,0,1.0104621625751872e-12,False,False,True,False,1
21,CaseBasedGeneratorWrapper_top5_0010,1,0.2208692,0,1.8160284074974923e-12,False,False,True,False,1
22,CaseBasedGeneratorWrapper_top5_0010,1,0.2314959,0,5.860843744541396e-10,False,False,True,False,1
23,CaseBasedGeneratorWrapper_top5_0010,1,0.21797583,0,3.6689047971921844e-08,False,False,True,False,1
24,CaseBasedGeneratorWrapper_top5_0010,1,0.22733375,0,2.445097491157577e-07,False,False,True,False,1
25,CaseBasedGeneratorWrapper_top5_0010,2,0.22241308,0,1.0104621625751872e-12,False,False,True,False,1
26,CaseBasedGeneratorWrapper_top5_0010,2,0.2208692,0,1.8160284074974923e-12,False,False,True,False,1
27,CaseBasedGeneratorWrapper_top5_0010,2,0.2314959,0,5.860843744541396e-10,False,False,True,False,1
28,CaseBasedGeneratorWrapper_top5_0010,2,0.21797583,0,3.6689047971921844e-08,False,False,True,False,1
29,CaseBasedGeneratorWrapper_top5_0010,2,0.22733375,0,2.445097491157577e-07,False,False,True,False,1
30,RandomGeneratorWrapper_top5_0010,0,0.346143,0,0.0,False,False,True,False,1
31,RandomGeneratorWrapper_top5_0010,0,0.29770893,0,0.0,False,False,True,False,1
32,RandomGeneratorWrapper_top5_0010,0,0.5629051,1,0.0,False,False,True,False,1
