model,iteration,iteration.time,NA,num_cycle,n_selection,n_offspring,n_mutated,n_candidates,n_survivors,avg_zeros,avg_survivors_fitness,median_survivors_fitness,max_survivors_fitness,model.hparams.topk,model.hparams.sample_size,model.hparams.mrate.0,model.hparams.mrate.1,model.hparams.mrate.2,model.hparams.mrate.3,model.hparams.mrate.4,mutsum.DELETE,mutsum.INSERT,mutsum.CHANGE,mutsum.SWAP,mutsum.NONE
1,1,0:05:44.586161,18,17,100,100,100,125,25,0.21333333333333332,1.4077752274575843,1.4034168875289994,1.4491902281069784,10,1000,0.01,0.3,0.3,0.3,0.09000000000000008,0,24,27,40,9
1,1,0:05:44.586161,19,18,100,100,100,125,25,0.2177777777777778,1.4127052225000343,1.407893609466079,1.4491902281069784,10,1000,0.01,0.3,0.3,0.3,0.09000000000000008,1,32,25,32,10
1,1,0:05:44.586161,20,19,100,100,100,125,25,0.22666666666666666,1.4285042223371733,1.4278875582127866,1.4516721374096453,10,1000,0.01,0.3,0.3,0.3,0.09000000000000008,1,25,39,31,4
1,1,0:05:44.586161,21,20,100,100,100,125,25,0.24296296296296296,1.4336426825686397,1.4323571611981696,1.4652164064502404,10,1000,0.01,0.3,0.3,0.3,0.09000000000000008,1,30,33,25,11
1,1,0:05:44.586161,22,21,100,100,100,125,25,0.24592592592592588,1.437226514105124,1.433244187540112,1.4652164064502404,10,1000,0.01,0.3,0.3,0.3,0.09000000000000008,1,38,21,32,8
1,1,0:05:44.586161,23,22,100,100,100,125,25,0.24444444444444444,1.4443032767214041,1.4422746603250354,1.4652164064502404,10,1000,0.01,0.3,0.3,0.3,0.09000000000000008,0,28,29,32,11
1,1,0:05:44.586161,24,23,100,100,100,125,25,0.25037037037037035,1.4537226860211394,1.4491902281069784,1.5048688800180443,10,1000,0.01,0.3,0.3,0.3,0.09000000000000008,0,30,31,28,11
1,1,0:05:44.586161,25,24,100,100,100,125,25,0.2696296296296296,1.500961643477016,1.5014781320849342,1.5227975896722694,10,1000,0.01,0.3,0.3,0.3,0.09000000000000008,1,38,27,25,9
1,1,0:05:44.586161,26,25,100,100,100,125,25,0.26666666666666666,1.5036172729340493,1.5025838794234807,1.5227975896722694,10,1000,0.01,0.3,0.3,0.3,0.09000000000000008,1,30,27,31,11
1,1,0:05:44.586161,27,26,100,100,100,125,25,0.274074074074074,1.5075469110407225,1.5048688800180443,1.5314924458035313,10,1000,0.01,0.3,0.3,0.3,0.09000000000000008,0,28,35,28,9
1,1,0:05:44.586161,28,27,100,100,100,125,25,0.2725925925925926,1.5095700878572476,1.5092400769635472,1.5335518253525517,10,1000,0.01,0.3,0.3,0.3,0.09000000000000008,1,30,30,36,3
