run,iteration.duration,iteration.duration_s,iteration.no,row.no,row.num_cycle,row.n_population,row.n_selection,row.n_offspring,row.n_mutated,row.n_survivors,row.mutsum.DELETE,row.mutsum.INSERT,row.mutsum.CHANGE,row.mutsum.TRANSP,row.mutsum.NONE,row.avg_zeros,row.avg_survivors_fitness,row.median_survivors_fitness,row.max_survivors_fitness,row.min_survivors_fitness
1,0:03:19.915327,199.91532731056213,1,14,13,1374,25,200,200,1472,1,67,54,61,17,0.8150412640901772,2.095814806826233,1.8475597577785745,2.6036919755317576,1.0184486365442138
1,0:03:19.915327,199.91532731056213,1,15,14,1472,25,200,200,1563,1,53,68,51,27,0.8243169593137604,2.110912298825661,1.9000677009935376,2.6036919755317576,1.0184486365442138
1,0:03:19.915327,199.91532731056213,1,16,15,1563,25,200,200,1667,2,63,56,53,26,0.8331444822146682,2.1215602888357274,2.5376548702570623,2.6036919755317576,1.0184486365442138
1,0:03:19.915327,199.91532731056213,1,17,16,1667,25,200,200,1770,0,63,71,48,18,0.8403431680267839,2.1265836541554575,2.5376548702570623,2.6036919755317576,1.0184486365442138
1,0:03:19.915327,199.91532731056213,1,18,17,1770,25,200,200,1882,2,55,61,57,25,0.84795528791278,2.1363325131090134,2.5376548702570623,2.6036919755317576,1.0184486365442138
1,0:03:19.915327,199.91532731056213,1,19,18,1882,25,200,200,1988,2,59,68,50,21,0.8541061181906253,2.1425915838628704,2.5376548702570623,2.6036919755317576,1.0184486365442138
1,0:03:19.915327,199.91532731056213,1,20,19,1988,25,200,200,2080,5,64,72,47,12,0.8591168091168092,2.1499130196061143,2.543845839487635,2.6036919755317576,1.0184486365442138
1,0:03:19.915327,199.91532731056213,1,21,20,2080,25,200,200,2182,1,62,56,62,19,0.864073055640425,2.156140428371388,2.543845839487635,2.6036919755317576,1.0184486365442138
1,0:03:19.915327,199.91532731056213,1,22,21,2182,25,200,200,2284,3,65,57,58,17,0.868537977557242,2.161607100035378,2.543845839487635,2.6036919755317576,1.0184486365442138
1,0:03:19.915327,199.91532731056213,1,23,22,2284,25,200,200,2390,2,65,52,58,23,0.8729273206260655,2.168201219685693,2.543845839487635,2.6036919755317576,1.0184486365442138
1,0:03:19.915327,199.91532731056213,1,24,23,2390,25,200,200,2475,0,66,54,59,21,0.8757201646090534,2.1692387025801856,2.543845839487635,2.6036919755317576,1.0184486365442138
1,0:03:19.915327,199.91532731056213,1,25,24,2475,25,200,200,2555,1,61,64,53,21,0.8785243168804813,2.172820678602654,2.5441511709395854,2.6036919755317576,1.0184486365442138
1,0:03:19.915327,199.91532731056213,1,26,25,2555,25,200,200,2651,3,56,63,62,16,0.881875462788326,2.1780230914511067,2.543845839487635,2.6036919755317576,1.0184486365442138
1,0:03:19.915327,199.91532731056213,1,27,26,2651,25,200,200,2748,2,63,58,63,14,0.884832066418675,2.181494757149552,2.540295311496294,2.6036919755317576,1.0184486365442138
1,0:03:19.915327,199.91532731056213,1,28,27,2748,25,200,200,2839,3,72,59,48,18,0.887153796981201,2.182505609797827,2.543845839487635,2.6036919755317576,1.0184486365442138
1,0:03:19.915327,199.91532731056213,1,29,28,2839,25,200,200,2945,2,54,73,49,22,0.8901590894799722,2.1879366512675946,2.543845839487635,2.6036919755317576,1.0184486365442138
1,0:03:19.915327,199.91532731056213,1,30,29,2945,25,200,200,3035,2,60,58,64,16,0.8925376777106595,2.1919781955468456,2.543845839487635,2.6036919755317576,1.0184486365442138
1,0:03:19.915327,199.91532731056213,1,31,30,3035,25,200,200,3125,3,59,53,64,21,0.8945659259259259,2.1934821104232234,2.543845839487635,2.6036919755317576,1.0184486365442138
1,0:03:19.915327,199.91532731056213,1,32,31,3125,25,200,200,3228,4,56,66,56,18,0.8969663591720595,2.1974857105961605,2.543845839487635,2.6036919755317576,1.0184486365442138
1,0:03:19.915327,199.91532731056213,1,33,32,3228,25,200,200,3325,2,71,57,63,7,0.8987691450849347,2.1983940090803387,2.543845839487635,2.6036919755317576,1.0184486365442138
