experiment,model_name,rank,likelihood,viability,sparcity,similarity,feasibility,delta,cf_num_zeros,result_outcome,source_outcome,target_outcome,cf,fa,run.duration_sec,run.mask,run.short_name,run.full_name,run.no,wrapper.type,wrapper.max_len,gen.vocab_len,gen.max_len,gen.feature_len,gen.ft_mode,gen.model,viab.data_distribution,viab.vocab_len,viab.max_len,viab.measure_mask,viab.type,instance.no,iteration.no,row.no
1,CaseBasedGenerator,28,0.9970531463623047,2.53646296265182,0.7211538461538461,0.7935155316010039,0.6794695664185761,0.34232401847839355,20,1,1,0,26 > 01 > 02 > 03 > 19 > 18 > 27,26 > 01 > 02 > 03 > 04 > 21 > 10 > 05 > 06 > 07 > 08 > 09 > 10 > 11 > 24 > 20 > 11 > 18 > 27,35.980337142944336,1111,CBG_CBGW_IM,CaseBasedGenerator_CaseBasedGeneratorWrapper_ImprovementMeasure,1,CaseBasedGeneratorWrapper,27,28,27,8,1,CaseBasedGenerator,6156,28,27,1111,ImprovementMeasure,1,1,23
1,CaseBasedGenerator,27,0.9970531463623047,2.53646296265182,0.7211538461538461,0.7935155316010039,0.6794695664185761,0.34232401847839355,20,1,1,0,26 > 01 > 02 > 03 > 19 > 18 > 27,26 > 01 > 02 > 03 > 04 > 21 > 10 > 05 > 06 > 07 > 08 > 09 > 10 > 11 > 24 > 20 > 11 > 18 > 27,35.980337142944336,1111,CBG_CBGW_IM,CaseBasedGenerator_CaseBasedGeneratorWrapper_ImprovementMeasure,1,CaseBasedGeneratorWrapper,27,28,27,8,1,CaseBasedGenerator,6156,28,27,1111,ImprovementMeasure,1,1,24
1,CaseBasedGenerator,26,0.9970531463623047,2.53646296265182,0.7211538461538461,0.7935155316010039,0.6794695664185761,0.34232401847839355,20,1,1,0,26 > 01 > 02 > 03 > 19 > 18 > 27,26 > 01 > 02 > 03 > 04 > 21 > 10 > 05 > 06 > 07 > 08 > 09 > 10 > 11 > 24 > 20 > 11 > 18 > 27,35.980337142944336,1111,CBG_CBGW_IM,CaseBasedGenerator_CaseBasedGeneratorWrapper_ImprovementMeasure,1,CaseBasedGeneratorWrapper,27,28,27,8,1,CaseBasedGenerator,6156,28,27,1111,ImprovementMeasure,1,1,25
1,CaseBasedGenerator,23,0.9970531463623047,2.5374919063691976,0.7211538461538461,0.77704167524178,0.6969723664951781,0.34232401847839355,20,1,1,0,26 > 01 > 02 > 03 > 19 > 18 > 27,26 > 01 > 02 > 03 > 04 > 21 > 10 > 05 > 06 > 07 > 08 > 09 > 10 > 11 > 24 > 20 > 11 > 18 > 27,35.980337142944336,1111,CBG_CBGW_IM,CaseBasedGenerator_CaseBasedGeneratorWrapper_ImprovementMeasure,1,CaseBasedGeneratorWrapper,27,28,27,8,1,CaseBasedGenerator,6156,28,27,1111,ImprovementMeasure,1,1,26
1,CaseBasedGenerator,22,0.9970531463623047,2.5374919063691976,0.7211538461538461,0.77704167524178,0.6969723664951781,0.34232401847839355,20,1,1,0,26 > 01 > 02 > 03 > 19 > 18 > 27,26 > 01 > 02 > 03 > 04 > 21 > 10 > 05 > 06 > 07 > 08 > 09 > 10 > 11 > 24 > 20 > 11 > 18 > 27,35.980337142944336,1111,CBG_CBGW_IM,CaseBasedGenerator_CaseBasedGeneratorWrapper_ImprovementMeasure,1,CaseBasedGeneratorWrapper,27,28,27,8,1,CaseBasedGenerator,6156,28,27,1111,ImprovementMeasure,1,1,27
1,CaseBasedGenerator,25,0.9970531463623047,2.5374919063691976,0.7211538461538461,0.77704167524178,0.6969723664951781,0.34232401847839355,20,1,1,0,26 > 01 > 02 > 03 > 19 > 18 > 27,26 > 01 > 02 > 03 > 04 > 21 > 10 > 05 > 06 > 07 > 08 > 09 > 10 > 11 > 24 > 20 > 11 > 18 > 27,35.980337142944336,1111,CBG_CBGW_IM,CaseBasedGenerator_CaseBasedGeneratorWrapper_ImprovementMeasure,1,CaseBasedGeneratorWrapper,27,28,27,8,1,CaseBasedGenerator,6156,28,27,1111,ImprovementMeasure,1,1,28
1,CaseBasedGenerator,24,0.9970531463623047,2.544058282315574,0.7211538461538461,0.7777006107415041,0.7028798069418305,0.34232401847839355,20,1,1,0,26 > 01 > 02 > 03 > 19 > 18 > 27,26 > 01 > 02 > 03 > 04 > 21 > 10 > 05 > 06 > 07 > 08 > 09 > 10 > 11 > 24 > 20 > 11 > 18 > 27,35.980337142944336,1111,CBG_CBGW_IM,CaseBasedGenerator_CaseBasedGeneratorWrapper_ImprovementMeasure,1,CaseBasedGeneratorWrapper,27,28,27,8,1,CaseBasedGenerator,6156,28,27,1111,ImprovementMeasure,1,1,29
1,CaseBasedGenerator,20,0.9970531463623047,2.544058282315574,0.7211538461538461,0.7777006107415041,0.7028798069418305,0.34232401847839355,20,1,1,0,26 > 01 > 02 > 03 > 19 > 18 > 27,26 > 01 > 02 > 03 > 04 > 21 > 10 > 05 > 06 > 07 > 08 > 09 > 10 > 11 > 24 > 20 > 11 > 18 > 27,35.980337142944336,1111,CBG_CBGW_IM,CaseBasedGenerator_CaseBasedGeneratorWrapper_ImprovementMeasure,1,CaseBasedGeneratorWrapper,27,28,27,8,1,CaseBasedGenerator,6156,28,27,1111,ImprovementMeasure,1,1,30
1,CaseBasedGenerator,19,0.9970531463623047,2.544058282315574,0.7211538461538461,0.7777006107415041,0.7028798069418305,0.34232401847839355,20,1,1,0,26 > 01 > 02 > 03 > 19 > 18 > 27,26 > 01 > 02 > 03 > 04 > 21 > 10 > 05 > 06 > 07 > 08 > 09 > 10 > 11 > 24 > 20 > 11 > 18 > 27,35.980337142944336,1111,CBG_CBGW_IM,CaseBasedGenerator_CaseBasedGeneratorWrapper_ImprovementMeasure,1,CaseBasedGeneratorWrapper,27,28,27,8,1,CaseBasedGenerator,6156,28,27,1111,ImprovementMeasure,1,1,31
1,CaseBasedGenerator,18,0.9970531463623047,2.5505128630174214,0.7211538461538461,0.778357574678231,0.7086774237069507,0.34232401847839355,20,1,1,0,26 > 01 > 02 > 03 > 19 > 18 > 27,26 > 01 > 02 > 03 > 04 > 21 > 10 > 05 > 06 > 07 > 08 > 09 > 10 > 11 > 24 > 20 > 11 > 18 > 27,35.980337142944336,1111,CBG_CBGW_IM,CaseBasedGenerator_CaseBasedGeneratorWrapper_ImprovementMeasure,1,CaseBasedGeneratorWrapper,27,28,27,8,1,CaseBasedGenerator,6156,28,27,1111,ImprovementMeasure,1,1,32
