experiment,run.no,instance.ddist.type,instance.ddist.name,instance.ddist.transition_estimator,instance.ddist.emission_estimator,instance.evaluator.data_distribution,instance.evaluator.vocab_len,instance.evaluator.max_len,instance.evaluator.measure_mask,instance.evaluator.type,instance.no,iteration.case_origin,iteration.no,row.no,row.prob,row.tprob,row.eprob,row.sparsity,row.similarity,row.feasibility,row.delta,row.viability,row.pred_score,row.true_outcome,row.pred_outcome,row.event
1,1,DataDistribution,MarkovChainProbability_EmissionProbIndependentFeatures,MarkovChainProbability,EmissionProbIndependentFeatures,486,35,27,1111,ImprovementMeasure,1,true_cases,21,1,4.0650427071427917e-14,8.390778707053873e-08,4.844654887305554e-07,0.6382783882783882,0.8041685123078556,0.3191827767762926,0.3333333432674408,2.094963020629977,0.00026165592134930193,0,0,[ 0.  0.  0. 33.  1.  2.  3.  4.  5.  6.  5.  6.  5.  7.  9.  8. 10. 11. 12.  6. 13. 14. 13. 25. 24. 14. 34.]
1,1,DataDistribution,MarkovChainProbability_EmissionProbIndependentFeatures,MarkovChainProbability,EmissionProbIndependentFeatures,486,35,27,1111,ImprovementMeasure,1,sampled_cases,22,1,0.0,0.0,1.2166519064155663e-15,0.6062271062271063,0.6799573166265205,0.0,0.33338454365730286,1.6195689665109296,0.0003385127638466656,0,0,[ 0.  0.  0.  0. 33.  1.  2.  3.  4. 23.  5.  7.  9. 10. 11. 12.  6. 13. 15. 16. 14. 13. 15. 16. 14. 13. 14.]
1,1,DataDistribution,MarkovChainProbability_EmissionProbIndependentFeatures,MarkovChainProbability,EmissionProbIndependentFeatures,486,35,27,1111,ImprovementMeasure,1,true_cases,23,1,4.0650427071427917e-14,8.390778707053873e-08,4.844654887305554e-07,0.6153846153846154,0.8329467109298304,0.3191827767762926,0.3333333432674408,2.100847446358179,0.00026165592134930193,0,0,[ 0.  0.  0. 33.  1.  2.  3.  4.  5.  6.  5.  6.  5.  7.  9.  8. 10. 11. 12.  6. 13. 14. 13. 25. 24. 14. 34.]
1,1,DataDistribution,MarkovChainProbability_EmissionProbIndependentFeatures,MarkovChainProbability,EmissionProbIndependentFeatures,486,35,27,1111,ImprovementMeasure,1,sampled_cases,24,1,0.0,0.0,1.2166519064155663e-15,0.5668498168498168,0.6922907364798696,0.0,0.33338454365730286,1.5925250969869893,0.0003385127638466656,0,0,[ 0.  0.  0.  0. 33.  1.  2.  3.  4. 23.  5.  7.  9. 10. 11. 12.  6. 13. 15. 16. 14. 13. 15. 16. 14. 13. 14.]
1,1,DataDistribution,MarkovChainProbability_EmissionProbIndependentFeatures,MarkovChainProbability,EmissionProbIndependentFeatures,486,35,27,1111,ImprovementMeasure,1,true_cases,25,1,4.0650427071427917e-14,8.390778707053873e-08,4.844654887305554e-07,0.673992673992674,0.8291298133881022,0.3191827767762926,0.3333333432674408,2.1556386074245095,0.00026165592134930193,0,0,[ 0.  0.  0. 33.  1.  2.  3.  4.  5.  6.  5.  6.  5.  7.  9.  8. 10. 11. 12.  6. 13. 14. 13. 25. 24. 14. 34.]
1,1,DataDistribution,MarkovChainProbability_EmissionProbIndependentFeatures,MarkovChainProbability,EmissionProbIndependentFeatures,486,35,27,1111,ImprovementMeasure,1,sampled_cases,26,1,0.0,0.0,1.2166519064155663e-15,0.5778388278388278,0.6985509073123155,0.0,0.33338454365730286,1.6097742788084461,0.0003385127638466656,0,0,[ 0.  0.  0.  0. 33.  1.  2.  3.  4. 23.  5.  7.  9. 10. 11. 12.  6. 13. 15. 16. 14. 13. 15. 16. 14. 13. 14.]
1,1,DataDistribution,MarkovChainProbability_EmissionProbIndependentFeatures,MarkovChainProbability,EmissionProbIndependentFeatures,486,35,27,1111,ImprovementMeasure,1,true_cases,27,1,4.0650427071427917e-14,8.390778707053873e-08,4.844654887305554e-07,0.6135531135531136,0.7885169443687661,0.3191827767762926,0.3333333432674408,2.054586177965613,0.00026165592134930193,0,0,[ 0.  0.  0. 33.  1.  2.  3.  4.  5.  6.  5.  6.  5.  7.  9.  8. 10. 11. 12.  6. 13. 14. 13. 25. 24. 14. 34.]
1,1,DataDistribution,MarkovChainProbability_EmissionProbIndependentFeatures,MarkovChainProbability,EmissionProbIndependentFeatures,486,35,27,1111,ImprovementMeasure,1,sampled_cases,28,1,0.0,0.0,1.2166519064155663e-15,0.6217948717948718,0.6988671925007442,0.0,0.33338454365730286,1.6540466079529188,0.0003385127638466656,0,0,[ 0.  0.  0.  0. 33.  1.  2.  3.  4. 23.  5.  7.  9. 10. 11. 12.  6. 13. 15. 16. 14. 13. 15. 16. 14. 13. 14.]
1,1,DataDistribution,MarkovChainProbability_EmissionProbIndependentFeatures,MarkovChainProbability,EmissionProbIndependentFeatures,486,35,27,1111,ImprovementMeasure,1,true_cases,29,1,4.0650427071427917e-14,8.390778707053873e-08,4.844654887305554e-07,0.5146520146520146,0.7386835679255419,0.3191827767762926,0.999190628528595,2.571708987882444,0.00026165592134930193,0,0,[ 0.  0.  0. 33.  1.  2.  3.  4.  5.  6.  5.  6.  5.  7.  9.  8. 10. 11. 12.  6. 13. 14. 13. 25. 24. 14. 34.]
1,1,DataDistribution,MarkovChainProbability_EmissionProbIndependentFeatures,MarkovChainProbability,EmissionProbIndependentFeatures,486,35,27,1111,ImprovementMeasure,1,sampled_cases,30,1,0.0,0.0,1.2166519064155663e-15,0.48351648351648346,0.5888199684244462,0.0,0.9991394877433777,2.071475939684307,0.0003385127638466656,0,0,[ 0.  0.  0.  0. 33.  1.  2.  3.  4. 23.  5.  7.  9. 10. 11. 12.  6. 13. 15. 16. 14. 13. 15. 16. 14. 13. 14.]
