,Generator,Factual,Dimension,Property,Model,Value
103,ES-EGW-CBI-ES-UC3-SBM-RR-IM,2,Resource,Plausibility,D4EL,0.0
104,ES-EGW-CBI-ES-UC3-SBM-RR-IM,2,Resource,Proximity,CF,4.0
105,ES-EGW-CBI-ES-UC3-SBM-RR-IM,2,Resource,Proximity,D4EL,5.0
106,ES-EGW-CBI-ES-UC3-SBM-RR-IM,2,Resource,Sparsity,CF,7.14
107,ES-EGW-CBI-ES-UC3-SBM-RR-IM,2,Resource,Sparsity,D4EL,12.0
108,ES-EGW-CBI-ES-UC3-SBM-RR-IM,3,Activity,Plausibility,CF,1.0
109,ES-EGW-CBI-ES-UC3-SBM-RR-IM,3,Activity,Plausibility,D4EL,0.0
110,ES-EGW-CBI-ES-UC3-SBM-RR-IM,3,Activity,Proximity,CF,3.8755236792832686
111,ES-EGW-CBI-ES-UC3-SBM-RR-IM,3,Activity,Proximity,D4EL,4.242640687119285
112,ES-EGW-CBI-ES-UC3-SBM-RR-IM,3,Activity,Sparsity,CF,4.240249985889252
113,ES-EGW-CBI-ES-UC3-SBM-RR-IM,3,Activity,Sparsity,D4EL,4.123105625617661
114,ES-EGW-CBI-ES-UC3-SBM-RR-IM,3,Resource,Plausibility,CF,1.0
115,ES-EGW-CBI-ES-UC3-SBM-RR-IM,3,Resource,Plausibility,D4EL,0.0
116,ES-EGW-CBI-ES-UC3-SBM-RR-IM,3,Resource,Proximity,CF,3.02
117,ES-EGW-CBI-ES-UC3-SBM-RR-IM,3,Resource,Proximity,D4EL,9.0
118,ES-EGW-CBI-ES-UC3-SBM-RR-IM,3,Resource,Sparsity,CF,12.7
119,ES-EGW-CBI-ES-UC3-SBM-RR-IM,3,Resource,Sparsity,D4EL,14.0
120,ES-EGW-CBI-ES-UC3-SBM-RR-IM,4,Activity,Plausibility,CF,0.0
121,ES-EGW-CBI-ES-UC3-SBM-RR-IM,4,Activity,Plausibility,D4EL,0.0
122,ES-EGW-CBI-ES-UC3-SBM-RR-IM,4,Activity,Proximity,CF,4.58257569495584
123,ES-EGW-CBI-ES-UC3-SBM-RR-IM,4,Activity,Proximity,D4EL,4.69041575982343
124,ES-EGW-CBI-ES-UC3-SBM-RR-IM,4,Activity,Sparsity,CF,4.58257569495584
125,ES-EGW-CBI-ES-UC3-SBM-RR-IM,4,Activity,Sparsity,D4EL,4.69041575982343
126,ES-EGW-CBI-ES-UC3-SBM-RR-IM,4,Resource,Plausibility,CF,1.0
127,ES-EGW-CBI-ES-UC3-SBM-RR-IM,4,Resource,Plausibility,D4EL,0.0
128,ES-EGW-CBI-ES-UC3-SBM-RR-IM,4,Resource,Proximity,CF,8.0
129,ES-EGW-CBI-ES-UC3-SBM-RR-IM,4,Resource,Proximity,D4EL,13.0
130,ES-EGW-CBI-ES-UC3-SBM-RR-IM,4,Resource,Sparsity,CF,17.0
131,ES-EGW-CBI-ES-UC3-SBM-RR-IM,4,Resource,Sparsity,D4EL,18.0
132,ES-EGW-CBI-ES-UC3-SBM-RR-IM,5,Activity,Plausibility,CF,1.0
133,ES-EGW-CBI-ES-UC3-SBM-RR-IM,5,Activity,Plausibility,D4EL,0.0
134,ES-EGW-CBI-ES-UC3-SBM-RR-IM,5,Activity,Proximity,CF,4.242640687119285
135,ES-EGW-CBI-ES-UC3-SBM-RR-IM,5,Activity,Proximity,D4EL,4.358898943540674
136,ES-EGW-CBI-ES-UC3-SBM-RR-IM,5,Activity,Sparsity,CF,4.0
137,ES-EGW-CBI-ES-UC3-SBM-RR-IM,5,Activity,Sparsity,D4EL,4.242640687119285
138,ES-EGW-CBI-ES-UC3-SBM-RR-IM,5,Resource,Plausibility,CF,1.0
139,ES-EGW-CBI-ES-UC3-SBM-RR-IM,5,Resource,Plausibility,D4EL,1.0
140,ES-EGW-CBI-ES-UC3-SBM-RR-IM,5,Resource,Proximity,CF,7.0
141,ES-EGW-CBI-ES-UC3-SBM-RR-IM,5,Resource,Proximity,D4EL,10.0
142,ES-EGW-CBI-ES-UC3-SBM-RR-IM,5,Resource,Sparsity,CF,13.0
143,ES-EGW-CBI-ES-UC3-SBM-RR-IM,5,Resource,Sparsity,D4EL,16.0
144,ES-EGW-CBI-RWS-OPC-SBM-FSR-IM,0,Activity,Plausibility,CF,1.0
145,ES-EGW-CBI-RWS-OPC-SBM-FSR-IM,0,Activity,Plausibility,D4EL,0.0
146,ES-EGW-CBI-RWS-OPC-SBM-FSR-IM,0,Activity,Proximity,CF,4.123105625617661
147,ES-EGW-CBI-RWS-OPC-SBM-FSR-IM,0,Activity,Proximity,D4EL,4.242640687119285
148,ES-EGW-CBI-RWS-OPC-SBM-FSR-IM,0,Activity,Sparsity,CF,4.123105625617661
149,ES-EGW-CBI-RWS-OPC-SBM-FSR-IM,0,Activity,Sparsity,D4EL,4.242640687119285
150,ES-EGW-CBI-RWS-OPC-SBM-FSR-IM,0,Resource,Plausibility,CF,1.0
151,ES-EGW-CBI-RWS-OPC-SBM-FSR-IM,0,Resource,Plausibility,D4EL,1.0
152,ES-EGW-CBI-RWS-OPC-SBM-FSR-IM,0,Resource,Proximity,CF,6.0
153,ES-EGW-CBI-RWS-OPC-SBM-FSR-IM,0,Resource,Proximity,D4EL,13.0
154,ES-EGW-CBI-RWS-OPC-SBM-FSR-IM,0,Resource,Sparsity,CF,10.0
155,ES-EGW-CBI-RWS-OPC-SBM-FSR-IM,0,Resource,Sparsity,D4EL,16.0
156,ES-EGW-CBI-RWS-OPC-SBM-FSR-IM,1,Activity,Plausibility,CF,1.0
157,ES-EGW-CBI-RWS-OPC-SBM-FSR-IM,1,Activity,Plausibility,D4EL,0.0
158,ES-EGW-CBI-RWS-OPC-SBM-FSR-IM,1,Activity,Proximity,CF,3.7416573867739413
159,ES-EGW-CBI-RWS-OPC-SBM-FSR-IM,1,Activity,Proximity,D4EL,3.7416573867739413
160,ES-EGW-CBI-RWS-OPC-SBM-FSR-IM,1,Activity,Sparsity,CF,3.0
161,ES-EGW-CBI-RWS-OPC-SBM-FSR-IM,1,Activity,Sparsity,D4EL,3.3166247903554
162,ES-EGW-CBI-RWS-OPC-SBM-FSR-IM,1,Resource,Plausibility,CF,1.0
163,ES-EGW-CBI-RWS-OPC-SBM-FSR-IM,1,Resource,Plausibility,D4EL,0.0
164,ES-EGW-CBI-RWS-OPC-SBM-FSR-IM,1,Resource,Proximity,CF,3.0
165,ES-EGW-CBI-RWS-OPC-SBM-FSR-IM,1,Resource,Proximity,D4EL,5.0
166,ES-EGW-CBI-RWS-OPC-SBM-FSR-IM,1,Resource,Sparsity,CF,8.0
167,ES-EGW-CBI-RWS-OPC-SBM-FSR-IM,1,Resource,Sparsity,D4EL,11.0
168,ES-EGW-CBI-RWS-OPC-SBM-FSR-IM,2,Activity,Plausibility,CF,1.0
169,ES-EGW-CBI-RWS-OPC-SBM-FSR-IM,2,Activity,Plausibility,D4EL,0.0
170,ES-EGW-CBI-RWS-OPC-SBM-FSR-IM,2,Activity,Proximity,CF,3.7416573867739413
171,ES-EGW-CBI-RWS-OPC-SBM-FSR-IM,2,Activity,Proximity,D4EL,3.7416573867739413
172,ES-EGW-CBI-RWS-OPC-SBM-FSR-IM,2,Activity,Sparsity,CF,2.449489742783178
173,ES-EGW-CBI-RWS-OPC-SBM-FSR-IM,2,Activity,Sparsity,D4EL,3.7416573867739413
174,ES-EGW-CBI-RWS-OPC-SBM-FSR-IM,2,Resource,Plausibility,CF,1.0
175,ES-EGW-CBI-RWS-OPC-SBM-FSR-IM,2,Resource,Plausibility,D4EL,0.0
176,ES-EGW-CBI-RWS-OPC-SBM-FSR-IM,2,Resource,Proximity,CF,4.0
177,ES-EGW-CBI-RWS-OPC-SBM-FSR-IM,2,Resource,Proximity,D4EL,5.0
178,ES-EGW-CBI-RWS-OPC-SBM-FSR-IM,2,Resource,Sparsity,CF,4.0
179,ES-EGW-CBI-RWS-OPC-SBM-FSR-IM,2,Resource,Sparsity,D4EL,12.0
180,ES-EGW-CBI-RWS-OPC-SBM-FSR-IM,3,Activity,Plausibility,CF,0.0
181,ES-EGW-CBI-RWS-OPC-SBM-FSR-IM,3,Activity,Plausibility,D4EL,0.0
182,ES-EGW-CBI-RWS-OPC-SBM-FSR-IM,3,Activity,Proximity,CF,4.0
183,ES-EGW-CBI-RWS-OPC-SBM-FSR-IM,3,Activity,Proximity,D4EL,4.242640687119285
184,ES-EGW-CBI-RWS-OPC-SBM-FSR-IM,3,Activity,Sparsity,CF,3.872983346207417
185,ES-EGW-CBI-RWS-OPC-SBM-FSR-IM,3,Activity,Sparsity,D4EL,4.123105625617661
186,ES-EGW-CBI-RWS-OPC-SBM-FSR-IM,3,Resource,Plausibility,CF,1.0
187,ES-EGW-CBI-RWS-OPC-SBM-FSR-IM,3,Resource,Plausibility,D4EL,0.0
188,ES-EGW-CBI-RWS-OPC-SBM-FSR-IM,3,Resource,Proximity,CF,4.0
189,ES-EGW-CBI-RWS-OPC-SBM-FSR-IM,3,Resource,Proximity,D4EL,9.0
190,ES-EGW-CBI-RWS-OPC-SBM-FSR-IM,3,Resource,Sparsity,CF,11.0
191,ES-EGW-CBI-RWS-OPC-SBM-FSR-IM,3,Resource,Sparsity,D4EL,14.0
192,ES-EGW-CBI-RWS-OPC-SBM-FSR-IM,4,Activity,Plausibility,CF,0.0
193,ES-EGW-CBI-RWS-OPC-SBM-FSR-IM,4,Activity,Plausibility,D4EL,0.0
194,ES-EGW-CBI-RWS-OPC-SBM-FSR-IM,4,Activity,Proximity,CF,4.47213595499958
195,ES-EGW-CBI-RWS-OPC-SBM-FSR-IM,4,Activity,Proximity,D4EL,4.69041575982343
196,ES-EGW-CBI-RWS-OPC-SBM-FSR-IM,4,Activity,Sparsity,CF,4.58257569495584
197,ES-EGW-CBI-RWS-OPC-SBM-FSR-IM,4,Activity,Sparsity,D4EL,4.69041575982343
198,ES-EGW-CBI-RWS-OPC-SBM-FSR-IM,4,Resource,Plausibility,CF,1.0
199,ES-EGW-CBI-RWS-OPC-SBM-FSR-IM,4,Resource,Plausibility,D4EL,0.0
200,ES-EGW-CBI-RWS-OPC-SBM-FSR-IM,4,Resource,Proximity,CF,5.0
201,ES-EGW-CBI-RWS-OPC-SBM-FSR-IM,4,Resource,Proximity,D4EL,13.0
202,ES-EGW-CBI-RWS-OPC-SBM-FSR-IM,4,Resource,Sparsity,CF,18.0
203,ES-EGW-CBI-RWS-OPC-SBM-FSR-IM,4,Resource,Sparsity,D4EL,18.0
204,ES-EGW-CBI-RWS-OPC-SBM-FSR-IM,5,Activity,Plausibility,CF,1.0
205,ES-EGW-CBI-RWS-OPC-SBM-FSR-IM,5,Activity,Plausibility,D4EL,0.0
206,ES-EGW-CBI-RWS-OPC-SBM-FSR-IM,5,Activity,Proximity,CF,4.242640687119285
207,ES-EGW-CBI-RWS-OPC-SBM-FSR-IM,5,Activity,Proximity,D4EL,4.358898943540674
208,ES-EGW-CBI-RWS-OPC-SBM-FSR-IM,5,Activity,Sparsity,CF,3.872983346207417
209,ES-EGW-CBI-RWS-OPC-SBM-FSR-IM,5,Activity,Sparsity,D4EL,4.242640687119285
210,ES-EGW-CBI-RWS-OPC-SBM-FSR-IM,5,Resource,Plausibility,CF,1.0
211,ES-EGW-CBI-RWS-OPC-SBM-FSR-IM,5,Resource,Plausibility,D4EL,1.0
212,ES-EGW-CBI-RWS-OPC-SBM-FSR-IM,5,Resource,Proximity,CF,6.0
213,ES-EGW-CBI-RWS-OPC-SBM-FSR-IM,5,Resource,Proximity,D4EL,10.0
214,ES-EGW-CBI-RWS-OPC-SBM-FSR-IM,5,Resource,Sparsity,CF,15.0
215,ES-EGW-CBI-RWS-OPC-SBM-FSR-IM,5,Resource,Sparsity,D4EL,16.0
216,RG-RGW-IM,0,Activity,Plausibility,CF,1.0
217,RG-RGW-IM,0,Activity,Plausibility,D4EL,0.0
218,RG-RGW-IM,0,Activity,Proximity,CF,4.832195299477118
219,RG-RGW-IM,0,Activity,Proximity,D4EL,4.242640687119285
220,RG-RGW-IM,0,Activity,Sparsity,CF,4.242640687119285
221,RG-RGW-IM,0,Activity,Sparsity,D4EL,4.242640687119285
222,RG-RGW-IM,0,Resource,Plausibility,CF,1.0
223,RG-RGW-IM,0,Resource,Plausibility,D4EL,1.0
224,RG-RGW-IM,0,Resource,Proximity,CF,20.96
225,RG-RGW-IM,0,Resource,Proximity,D4EL,13.0
226,RG-RGW-IM,0,Resource,Sparsity,CF,18.0
227,RG-RGW-IM,0,Resource,Sparsity,D4EL,16.0
228,RG-RGW-IM,1,Activity,Plausibility,CF,1.0
229,RG-RGW-IM,1,Activity,Plausibility,D4EL,0.0
230,RG-RGW-IM,1,Activity,Proximity,CF,4.822573584049256
231,RG-RGW-IM,1,Activity,Proximity,D4EL,3.7416573867739413
232,RG-RGW-IM,1,Activity,Sparsity,CF,3.7416573867739413
233,RG-RGW-IM,1,Activity,Sparsity,D4EL,3.3166247903554
234,RG-RGW-IM,1,Resource,Plausibility,CF,1.0
235,RG-RGW-IM,1,Resource,Plausibility,D4EL,0.0
236,RG-RGW-IM,1,Resource,Proximity,CF,20.38
237,RG-RGW-IM,1,Resource,Proximity,D4EL,5.0
238,RG-RGW-IM,1,Resource,Sparsity,CF,14.0
239,RG-RGW-IM,1,Resource,Sparsity,D4EL,11.0
240,RG-RGW-IM,2,Activity,Plausibility,CF,1.0
241,RG-RGW-IM,2,Activity,Plausibility,D4EL,0.0
242,RG-RGW-IM,2,Activity,Proximity,CF,4.856499811185163
243,RG-RGW-IM,2,Activity,Proximity,D4EL,3.7416573867739413
244,RG-RGW-IM,2,Activity,Sparsity,CF,3.7416573867739413
245,RG-RGW-IM,2,Activity,Sparsity,D4EL,3.7416573867739413
246,RG-RGW-IM,2,Resource,Plausibility,CF,1.0
247,RG-RGW-IM,2,Resource,Plausibility,D4EL,0.0
248,RG-RGW-IM,2,Resource,Proximity,CF,20.46
249,RG-RGW-IM,2,Resource,Proximity,D4EL,5.0
250,RG-RGW-IM,2,Resource,Sparsity,CF,14.0
251,RG-RGW-IM,2,Resource,Sparsity,D4EL,12.0
252,RG-RGW-IM,3,Activity,Plausibility,CF,1.0
253,RG-RGW-IM,3,Activity,Plausibility,D4EL,0.0
254,RG-RGW-IM,3,Activity,Proximity,CF,4.805536313352575
255,RG-RGW-IM,3,Activity,Proximity,D4EL,4.242640687119285
256,RG-RGW-IM,3,Activity,Sparsity,CF,4.242640687119285
257,RG-RGW-IM,3,Activity,Sparsity,D4EL,4.123105625617661
258,RG-RGW-IM,3,Resource,Plausibility,CF,1.0
259,RG-RGW-IM,3,Resource,Plausibility,D4EL,0.0
260,RG-RGW-IM,3,Resource,Proximity,CF,20.8
261,RG-RGW-IM,3,Resource,Proximity,D4EL,9.0
262,RG-RGW-IM,3,Resource,Sparsity,CF,18.0
263,RG-RGW-IM,3,Resource,Sparsity,D4EL,14.0
264,RG-RGW-IM,4,Activity,Plausibility,CF,1.0
265,RG-RGW-IM,4,Activity,Plausibility,D4EL,0.0
