,num_instance,num_cycle,num_offspring,avg_offspring_fitness,num_survivors,avg_survivors_fitness,median_survivors_fitness,max_survivors_fitness,mut_num_o.1,mut_num_o.3,mut_num_o.2,mut_num_o.4,mut_num_o.0,mut_num_s.1,mut_num_s.0,mut_num_s.4,mut_num_s.2,mut_num_s.3
17,0,17,100,1.636808424104038,5,1.6845771448176414,1.6844337718050988,1.6851506368678124,17,22,23,19,19,,2.0,,1.0,2.0
18,0,18,100,1.6301926244296714,5,1.6845336084753177,1.6845336084753177,1.6845336084753177,17,19,19,17,28,2.0,3.0,,,
19,0,19,100,1.629197646063296,5,1.693561667550663,1.693561667550663,1.693561667550663,18,11,26,21,24,3.0,1.0,1.0,,
20,0,20,100,1.626718887562836,5,1.694970971750633,1.6949709717506332,1.6949709717506332,15,26,18,22,19,,3.0,1.0,,1.0
21,0,21,100,1.6328489878083912,5,1.6851861352381179,1.6851861352381177,1.6851861352381177,22,23,16,20,19,1.0,3.0,,,1.0
22,0,22,100,1.6345326500832875,5,1.6936507412994029,1.6935398885810495,1.694094152172816,19,11,25,28,17,2.0,,,2.0,1.0
23,0,23,100,1.6495677384885121,5,1.6892849534829932,1.6892849534829932,1.6892849534829932,27,20,18,16,19,2.0,3.0,,,
24,0,24,100,1.630015497565434,5,1.685087872067084,1.685087872067084,1.685087872067084,27,20,15,21,17,1.0,2.0,1.0,,1.0
25,0,25,100,1.6392461417369908,5,1.6915052864776876,1.6915052864776876,1.6915052864776876,23,25,29,12,11,,1.0,,2.0,2.0
26,0,26,100,1.6266965699792633,5,1.6893601688281605,1.689345518006475,1.6894187721149039,22,13,14,25,26,,1.0,1.0,,3.0
27,0,27,100,1.6257378865398735,5,1.685161126175513,1.685161126175513,1.685161126175513,17,23,18,21,21,1.0,3.0,1.0,,
28,0,28,100,1.6458877499500215,5,1.6920985578057266,1.6920985578057266,1.6920985578057266,24,20,16,21,19,1.0,2.0,1.0,,1.0
29,0,29,100,1.6233592578879183,5,1.685161126175513,1.685161126175513,1.685161126175513,20,26,17,21,16,1.0,1.0,1.0,1.0,1.0
30,0,30,100,1.6326025168076075,5,1.6895178330347165,1.6895178330347163,1.6895178330347163,20,25,20,19,16,1.0,3.0,,1.0,
31,0,31,100,1.6370034940733822,5,1.6885064278022521,1.6885064278022524,1.6885064278022524,27,19,15,23,16,,2.0,,,3.0
32,0,32,100,1.633870021350391,5,1.685161126175513,1.685161126175513,1.685161126175513,19,25,21,12,23,1.0,1.0,,,3.0
33,0,33,100,1.6407957001424658,5,1.694114602632715,1.694114602632715,1.694114602632715,18,21,22,20,19,1.0,,,,4.0
34,0,34,100,1.6381846890820462,5,1.685161126175513,1.685161126175513,1.685161126175513,18,21,21,17,23,,2.0,1.0,,2.0
35,0,35,100,1.6419357101511545,5,1.698067444203381,1.6971621927003904,1.701688450215344,17,21,25,21,16,,,,2.0,3.0
36,0,36,100,1.634245383112186,5,1.6896873836904667,1.6896873836904667,1.6896873836904667,18,24,22,14,22,,3.0,,,2.0
37,0,37,100,1.6416721159826109,5,1.6955655210480416,1.6955654972061835,1.695565616415473,29,21,17,20,13,,1.0,1.0,,3.0
38,0,38,100,1.6255922614332476,5,1.6967372931755733,1.696737340859289,1.696737340859289,19,25,17,20,19,1.0,3.0,,1.0,
39,0,39,100,1.6398815735422179,5,1.6996344923868616,1.6992545962229213,1.700210833539053,18,23,25,15,19,,1.0,,,4.0
40,0,40,100,1.6405285563309724,5,1.702980015534488,1.7029800155344879,1.7029800155344879,17,15,24,23,21,1.0,2.0,2.0,,
41,0,41,100,1.6305928326677548,5,1.702690216529831,1.702690216529831,1.702690216529831,16,24,19,18,23,,2.0,2.0,,1.0
42,0,42,100,1.652882746768975,5,1.7012001390679168,1.7012001390679166,1.7012001390679166,16,23,20,20,21,1.0,,1.0,1.0,2.0
43,0,43,100,1.6362504786341305,5,1.6922906843776597,1.6922906843776597,1.6922906843776597,15,22,17,25,21,1.0,2.0,1.0,1.0,
44,0,44,100,1.6447488029255881,5,1.7034122129375233,1.7034122129375233,1.7034122129375233,21,23,21,19,16,,3.0,1.0,1.0,
45,0,45,100,1.6278562909856162,5,1.6878644164560064,1.6878644164560064,1.6878644164560064,23,14,18,20,25,1.0,2.0,1.0,1.0,
46,0,46,100,1.6394382849993758,5,1.6984979108860863,1.6984979108860863,1.6984979108860863,27,18,19,18,18,1.0,1.0,1.0,1.0,1.0
47,0,47,100,1.6821399185117067,5,1.7244275503649955,1.7244275503649955,1.7244275503649955,18,27,17,14,24,1.0,2.0,,,2.0
48,0,48,100,1.6259068786937922,5,1.6975161576308075,1.6975161576308075,1.6975161576308075,22,20,22,18,18,1.0,2.0,1.0,1.0,
49,0,49,100,1.6656356846516254,5,1.709879864543386,1.7098798645433861,1.7098798645433861,24,18,18,20,20,,2.0,1.0,,2.0
50,0,50,100,1.6466686637696695,5,1.6921681158638162,1.6921681158638162,1.6921681158638162,22,26,21,16,15,1.0,2.0,,1.0,1.0
51,0,51,100,1.630808211526133,5,1.6922981066562954,1.6922981066562954,1.6922981066562954,19,18,18,22,23,2.0,2.0,1.0,,
